Identifier,Relevance,FullStatement,URI
014c8a44-bc4c-11e8-b843-0242ac120003,210,"(MISCONCEPTION) Prototypical image of a rectangle seems to be a four-sided figure with two long parallel sides and close to"" square corners. Young children tend to accept long parallelograms or right trapezoids as rectangles.""",http://frameworks.act.org/uri/014c8a44-bc4c-11e8-b843-0242ac120003
02c73de2-bc4c-11e8-a2ff-0242ac120003,203,"(MISCONCEPTION) Constant sum: find the sum of the two parts of a ratio and assume the sum of the other ratio is the same and solve backwards (e.g., to solve 3/6 : 7/x, a student might think ""3+6=9, so 7+x=9. X=2"")",http://frameworks.act.org/uri/02c73de2-bc4c-11e8-a2ff-0242ac120003
02355d50-bc4c-11e8-ada5-0242ac120003,198,"Understand that when subtracting three digit-numbers, the values in each place are subtracted (hundreds from hundreds, tens from tens, ones from ones) and it may sometimes be necessary to decompose tens or hundreds",http://frameworks.act.org/uri/02355d50-bc4c-11e8-ada5-0242ac120003
0234de02-bc4c-11e8-87af-0242ac120003,187,"Understand that when adding three digit-numbers, the values in each place are added (hundreds and hundreds, tens and tens, ones and ones) and it may sometimes be necessary to compose tens or hundreds",http://frameworks.act.org/uri/0234de02-bc4c-11e8-87af-0242ac120003
0193fd5c-bc4c-11e8-9ea1-0242ac120003,186,Understand the equivalence of the perimeter formulas for a rectangle [P = 2*(l + w) and P = l + w + l + w and P = 2*l + 2*w] and the relationship between the formulas and the dimensions of a rectangle,http://frameworks.act.org/uri/0193fd5c-bc4c-11e8-9ea1-0242ac120003
0131b386-bc4c-11e8-9c69-0242ac120003,185,"Understand the relationship between the number of cubic units in a layer, the number of layers in a solid figure, and the product arrived at by multiplying the three side lengths of a rectangular prism",http://frameworks.act.org/uri/0131b386-bc4c-11e8-9c69-0242ac120003
01befe44-bc4c-11e8-a572-0242ac120003,182,"Relationships among number representations, including whole numbers, fractions, decimals, integers, rational and irrational numbers, complex numbers, and quantities represented in vectors and matrices",http://frameworks.act.org/uri/01befe44-bc4c-11e8-a572-0242ac120003
013cec56-bc4c-11e8-8921-0242ac120003,181,Explain using similarity transformations the meaning of similarity for triangles as the equality of all corresponding pairs of angles and the proportionality of all corresponding pairs of sides,http://frameworks.act.org/uri/013cec56-bc4c-11e8-8921-0242ac120003
013133ac-bc4c-11e8-bdd5-0242ac120003,179,Estimate packing volume by mentally or physically packing an indeterminate quantity of cubic units into a solid figure and inferring how many more times that quantity will fit into the figure,http://frameworks.act.org/uri/013133ac-bc4c-11e8-bdd5-0242ac120003
0133a3c6-bc4c-11e8-bcae-0242ac120003,178,Solve problems about packing volume of complex right rectangular prisms by decomposing into simple right rectangular prisms and applying the formula V = B*h with fractional number side lengths,http://frameworks.act.org/uri/0133a3c6-bc4c-11e8-bcae-0242ac120003
013273fc-bc4c-11e8-b61f-0242ac120003,175,Solve problems about packing volume of complex right rectangular prisms by decomposing into simple right rectangular prisms and applying the formula V = B*h with whole number side lengths,http://frameworks.act.org/uri/013273fc-bc4c-11e8-b61f-0242ac120003
01f013c6-bc4c-11e8-abec-0242ac120003,171,"Describe the relationship between one part of a circle or rectangle equipartitioned into 2 or 4 equal parts and the whole shape using language (e.g., ""half of,"" ""fourth of,"" etc.)",http://frameworks.act.org/uri/01f013c6-bc4c-11e8-abec-0242ac120003
01863000-bc4c-11e8-8bce-0242ac120003,169,"(MISCONCEPTION) When calculating distance between two points, the x- and y-coordinates of the same point are used rather than using the x- or y-coordinates of two different points",http://frameworks.act.org/uri/01863000-bc4c-11e8-8bce-0242ac120003
01f1520e-bc4c-11e8-80c0-0242ac120003,166,"Describe the relationship between one part of a circle or rectangle equipartitioned into 3 equal parts and the whole shape using language (e.g., ""half of,"" ""fourth of,"" etc.)",http://frameworks.act.org/uri/01f1520e-bc4c-11e8-80c0-0242ac120003
0209ea80-bc4c-11e8-9da8-0242ac120003,166,Understand that the greater than symbol (>) used to compare two numbers/expressions means that the first number/expression is of greater value than the second number/expression,http://frameworks.act.org/uri/0209ea80-bc4c-11e8-9da8-0242ac120003
020a0b32-bc4c-11e8-a332-0242ac120003,165,Understand that the equal sign symbol (=) used to compare two numbers/expressions means that the first number/expression is of the same value as the second number/expression,http://frameworks.act.org/uri/020a0b32-bc4c-11e8-a332-0242ac120003
0209cb68-bc4c-11e8-8442-0242ac120003,163,Understand that the less than symbol (<) used to compare two numbers/expressions means that the first number/expression is of lower value than the second number/expression,http://frameworks.act.org/uri/0209cb68-bc4c-11e8-8442-0242ac120003
021bbcba-bc4c-11e8-b1c9-0242ac120003,163,"Flexibly interpret verbal expressions of three-digit numerals as composed of a hundred quantity, decade quantity, and ones, and as a collection of hundreds, tens, and ones",http://frameworks.act.org/uri/021bbcba-bc4c-11e8-b1c9-0242ac120003
0285e23e-bc4c-11e8-95da-0242ac120003,162,Determine whether a group of up to 20 objects is even or odd by partitioning the objects into two groups and seeing whether the groups are even or if there is a remainder,http://frameworks.act.org/uri/0285e23e-bc4c-11e8-95da-0242ac120003
028a0daa-bc4c-11e8-9b14-0242ac120003,160,"Represent the relationships among a given total (dividend or product), the divisor or multiplier, and the quotient or multiplicand using division and multiplication sentences",http://frameworks.act.org/uri/028a0daa-bc4c-11e8-9b14-0242ac120003
015e288a-bc4c-11e8-88a5-0242ac120003,160,"Understand that the number of units aligned side-by-side, with no gaps or overlaps needed to measure the space inside a plane figure is a constant attribute of the figure",http://frameworks.act.org/uri/015e288a-bc4c-11e8-88a5-0242ac120003
02625f1c-bc4c-11e8-be99-0242ac120003,159,Apply relational thinking to equations with the operation on the left side of the equal sign and a relational change shown with a variable at the beginning of the equation,http://frameworks.act.org/uri/02625f1c-bc4c-11e8-be99-0242ac120003
0287034e-bc4c-11e8-9916-0242ac120003,159,"Use arrays and equipartitioning to explore multiplication and division relationships, and represent multiplication and division situations with expressions and equations",http://frameworks.act.org/uri/0287034e-bc4c-11e8-9916-0242ac120003
021bfd24-bc4c-11e8-92fa-0242ac120003,159,"(MISCONCEPTION) Students ignore places that contain 0s and move digits to the right into the ""empty"" places; e.g. they see 908 and think of it as ""9 hundreds and 8 tens""",http://frameworks.act.org/uri/021bfd24-bc4c-11e8-92fa-0242ac120003
01610bb8-bc4c-11e8-9ac1-0242ac120003,159,"Understand the relationship of the number of square units in a row and the number of rows, and the product arrived at by multiplying the side lengths of a rectangle together",http://frameworks.act.org/uri/01610bb8-bc4c-11e8-9ac1-0242ac120003
0208a4b8-bc4c-11e8-b740-0242ac120003,159,"Understanding the names, cardinal size, and structure of non-decimal numbers in the base-ten system, naming and comparing whole numbers, and performing operations with whole numbers",http://frameworks.act.org/uri/0208a4b8-bc4c-11e8-b740-0242ac120003
0124b3b6-bc4c-11e8-a1ec-0242ac120003,159,Estimate filling volume by filling part of a container with a known quantity of fluid units and inferring how many more times that quantity will fit into the container,http://frameworks.act.org/uri/0124b3b6-bc4c-11e8-a1ec-0242ac120003
023a27fe-bc4c-11e8-85a4-0242ac120003,158,(STRATEGY) Represent unknown addition problems with a sum of less than 20 as 3-addend problems with equivalent sums to go up-to-and-over-10 using drawings and equations,http://frameworks.act.org/uri/023a27fe-bc4c-11e8-85a4-0242ac120003
01b1e0ec-bc4c-11e8-805c-0242ac120003,157,"Understand that by similarity, side ratios in right triangles are properties of the angles in the triangle, leading to definitions of trigonometric ratios for acute angles",http://frameworks.act.org/uri/01b1e0ec-bc4c-11e8-805c-0242ac120003
01892fb2-bc4c-11e8-8598-0242ac120003,156,"Understand that the principle of transitivity for length measure refers to the concept that if A is longer than B, and B is longer than C, then A is longer than C",http://frameworks.act.org/uri/01892fb2-bc4c-11e8-8598-0242ac120003
0261be2c-bc4c-11e8-b5ea-0242ac120003,155,Solve open-equations presented in nontraditional format with operations on both sides of equal sign and multiple missing numbers represented with the same variable,http://frameworks.act.org/uri/0261be2c-bc4c-11e8-b5ea-0242ac120003
02c6fbe8-bc4c-11e8-bc9b-0242ac120003,154,(MISCONCEPTION) Incorrect build-up method: using a multiplicative strategy on non-integer ratios and then using a constant difference strategy to handle the remainder,http://frameworks.act.org/uri/02c6fbe8-bc4c-11e8-bc9b-0242ac120003
02469b9c-bc4c-11e8-9cfd-0242ac120003,154,Understand that the proximity principle indicates that the goal of computational estimation is to obtain estimates that are close to the exact answer of the problem,http://frameworks.act.org/uri/02469b9c-bc4c-11e8-9cfd-0242ac120003
02fbf316-bc4c-11e8-af6d-0242ac120003,154,Understand that experimental probability is the ratio of the number of times an event occurs to the total number of times the event could occur in a given situation,http://frameworks.act.org/uri/02fbf316-bc4c-11e8-af6d-0242ac120003
02621f20-bc4c-11e8-abac-0242ac120003,153,Apply relational thinking to equations with the operation on the left side of the equal sign and a relational change shown with a number at the end of the equation,http://frameworks.act.org/uri/02621f20-bc4c-11e8-abac-0242ac120003
025e2064-bc4c-11e8-bcf1-0242ac120003,152,Understanding the role of the equal sign as a symbol of a balanced relationship between expressions and applying relational thinking to solve and reason about equations,http://frameworks.act.org/uri/025e2064-bc4c-11e8-bcf1-0242ac120003
02559192-bc4c-11e8-917e-0242ac120003,152,Explain why the x-coordinates of the points where the graphs of the equations y = f(x) and y = g(x) intersect are the solutions of the equation f(x) = g(x);,http://frameworks.act.org/uri/02559192-bc4c-11e8-917e-0242ac120003
023b0142-bc4c-11e8-8c0c-0242ac120003,152,"Solve comparison problems within 20 where the smaller amount is unknown and the problem uses the word ""fewer"" or ""less"" to suggest the subtraction operation",http://frameworks.act.org/uri/023b0142-bc4c-11e8-8c0c-0242ac120003
025df210-bc4c-11e8-80d7-0242ac120003,152,Understanding the role of the equal sign as a symbol of a balanced relationship between expressions and applying relational thinking to solve and reason about equations,http://frameworks.act.org/uri/025df210-bc4c-11e8-80d7-0242ac120003
02428462-bc4c-11e8-88ac-0242ac120003,151,Understand that the associative property of addition indicates that changing the order of associative operators in an addition problem does not change the result,http://frameworks.act.org/uri/02428462-bc4c-11e8-88ac-0242ac120003
0166d192-bc4c-11e8-b072-0242ac120003,151,Demonstrate the relationship between the formula A = 1/2*b*h and the rectangle area formula A = l*w by constructing a rectangle from two copies of a right triangle,http://frameworks.act.org/uri/0166d192-bc4c-11e8-b072-0242ac120003
01b163c4-bc4c-11e8-84a2-0242ac120003,149,"Find sine, cosine, or tangent of an acute angle in a right triangle and find the measure of an acute angle in a right triangle given its sine, cosine, or tangent",http://frameworks.act.org/uri/01b163c4-bc4c-11e8-84a2-0242ac120003
0153f8ce-bc4c-11e8-9578-0242ac120003,149,Understand that rotational symmetry refers to the symmetry a figure exhibits when it is rotated around a center point and appears the same as it did originally,http://frameworks.act.org/uri/0153f8ce-bc4c-11e8-9578-0242ac120003
026ee67e-bc4c-11e8-a116-0242ac120003,149,"Understanding principles of functions, including finding and interpreting domain and range, transformations, maxima and minima, roots and factors, and end behavior",http://frameworks.act.org/uri/026ee67e-bc4c-11e8-a116-0242ac120003
01c915d2-bc4c-11e8-9ac1-0242ac120003,149,"Compare sizes of sets by reasoning about the type of transformation applied to one or both sets (i.e., adding or removing an object) and without counting",http://frameworks.act.org/uri/01c915d2-bc4c-11e8-9ac1-0242ac120003
021b9cd0-bc4c-11e8-8fe9-0242ac120003,148,"Write and flexibly interpret three-digit numerals as a mark composed of a hundreds number, a decade number, and ones, and composed of hundreds, tens, and ones",http://frameworks.act.org/uri/021b9cd0-bc4c-11e8-8fe9-0242ac120003
01aae328-bc4c-11e8-8c61-0242ac120003,148,Understand that vertical angles are a pair of angles that share a vertex and that each side of one is an extension through the vertex of a side of the other,http://frameworks.act.org/uri/01aae328-bc4c-11e8-8c61-0242ac120003
02c77cf8-bc4c-11e8-8203-0242ac120003,148,"(MISCONCEPTION) Inappropriate centrations: there is no obvious application of ratio/rate and instead, the learner focuses on one measure of the ratio/rate",http://frameworks.act.org/uri/02c77cf8-bc4c-11e8-8203-0242ac120003
0139fb7c-bc4c-11e8-913d-0242ac120003,147,Illustrate that two triangles are congruent if and only if corresponding pairs of sides and corresponding pairs of angles are congruent using rigid motions,http://frameworks.act.org/uri/0139fb7c-bc4c-11e8-913d-0242ac120003
014a8c6c-bc4c-11e8-b512-0242ac120003,147,"Understand that the size of a shape can vary without changing the type of a shape (e.g., a circle can be very small or very large and it is still a circle)",http://frameworks.act.org/uri/014a8c6c-bc4c-11e8-b512-0242ac120003
0246bc8a-bc4c-11e8-815a-0242ac120003,147,Understand that the simplification principle indicates that the computational estimation requires the simplification of operands for easier mental arithmetic,http://frameworks.act.org/uri/0246bc8a-bc4c-11e8-815a-0242ac120003
02623f46-bc4c-11e8-a304-0242ac120003,147,Apply relational thinking to equations with operations on both sides of the equal sign and a relational change shown with a variable at the end of the equation,http://frameworks.act.org/uri/02623f46-bc4c-11e8-a304-0242ac120003
01fbae70-bc4c-11e8-a19a-0242ac120003,146,Understand that terms that have exponents of negative integer values will be a multiplicative inverse of the same expression with a positive integer value,http://frameworks.act.org/uri/01fbae70-bc4c-11e8-a19a-0242ac120003
01c7deba-bc4c-11e8-bf41-0242ac120003,146,Understand that the number of objects in a set is the same regardless of the arrangement of the objects or the order in which the objects were counted,http://frameworks.act.org/uri/01c7deba-bc4c-11e8-bf41-0242ac120003
